QUEST_UNUSED_20150317_000001	啊哈，這條路是前往拜訪寬恕者大師的路啊！祝你好武運。
QUEST_UNUSED_20150729_000313	喔全數都能正常啟動了！{nl}非常感謝。{nl}現在我可以安心指引靈魂了。
QUEST_UNUSED_20150729_000314	有點擔心靈魂的數量過多…{nl}但我還是希望可以安分地引導他們。{nl}願啟示者的路上充滿了女神的祝福。
QUEST_UNUSED_20150729_000315	是誰啊？滾一邊去！{nl}啊…但如果你能幫助我的話…
QUEST_UNUSED_20150729_000316	祭司尤塔
QUEST_UNUSED_20150729_000317	哇，沒想到在墓地竟然能遇到活人。{nl}我是服侍澤米娜女神的邪靈祭司。我是追隨著消失的澤米娜女神的蹤跡來到了這裡。{nl}
QUEST_UNUSED_20150729_000318	隱身的澤米娜女神祝福了真理之樹教團，所以我跟著來到這裡。{nl}一來到這只看到屍體遍野。{nl}憑我的力量也無法駕馭這些屍體。屍體可能會妨礙到儀式進行得清除乾淨才行…
QUEST_UNUSED_20150729_000319	啊真的嗎？就算只是說說我也很感謝啊！{nl}其實一個人準備儀式也是很麻煩的。{nl}
QUEST_UNUSED_20150729_000320	那麼請幫我清除附近的屍體。{nl}我則負責準備儀式然後向女神禱告。
QUEST_UNUSED_20150729_000321	我想說來到這裡應該會看到甚麼東西，聽說是邪靈祭司力量都駕馭不了的屍體…{nl}我第一次看到這種東西。得趕快去見女神才行…
QUEST_UNUSED_20150729_000322	啊您回來了啊！託您的福，我才能順利向女神禱告。{nl}嗯…您還是跟平常一樣話不多啊…
QUEST_UNUSED_20150729_000323	我會檢查看看。
QUEST_UNUSED_20150729_000324	信號
QUEST_UNUSED_20150729_000325	斬斷尾巴(1)
QUEST_UNUSED_20150729_000326	斬斷尾巴(2)
QUEST_UNUSED_20150729_000327	斬斷尾巴(3)
QUEST_UNUSED_20150729_000328	到達死胡同(1)
QUEST_UNUSED_20150729_000329	到達死胡同(2)
QUEST_UNUSED_20150729_000330	到達死胡同(3)
QUEST_UNUSED_20150729_000331	記錄文物避難所
QUEST_UNUSED_20150729_000332	高尚的魔君主
QUEST_UNUSED_20150729_000333	尋找自我的旅程(1)
QUEST_UNUSED_20150729_000334	尋找自我的旅程(2)
QUEST_UNUSED_20150729_000335	尋找自我的旅程(3)
QUEST_UNUSED_20150729_000336	尋找自我的旅程(4)
QUEST_UNUSED_20150729_000337	尋找自我的旅程(5)
QUEST_UNUSED_20150729_000338	尋找自我的旅程(6)
QUEST_UNUSED_20150729_000339	無止盡的交易(1)
QUEST_UNUSED_20150729_000340	無止盡的交易(2)
QUEST_UNUSED_20150729_000341	無止盡的交易(3)
QUEST_UNUSED_20150729_000342	無止盡的交易(4)
QUEST_UNUSED_20150729_000343	勒肯家的悲劇(1)
QUEST_UNUSED_20150729_000344	勒肯家的悲劇(2)
QUEST_UNUSED_20150729_000345	勒肯家的悲劇(3)
QUEST_UNUSED_20150729_000346	執行
QUEST_UNUSED_20150730_000347	修理中/HAMMERING/5/TRACK_AFTER/None
QUEST_UNUSED_20150730_000348	Notice/探測器開始啟動了！#5
QUEST_UNUSED_20150730_000349	修理中/HAMMERING/3/TRACK_BEFORE/None
QUEST_UNUSED_20150803_000350	和團員伊魯曼塔斯對話
QUEST_UNUSED_20150803_000351	拜訪團員克拉其那
QUEST_UNUSED_20150803_000352	好像聽到附近有人在叫我。
QUEST_UNUSED_20150803_000353	和團員克拉其那對話
QUEST_UNUSED_20150803_000354	將物品轉交給伊魯曼塔斯
QUEST_UNUSED_20150803_000355	拜訪團員阿爾利那
QUEST_UNUSED_20150803_000356	和團員阿爾利那對話
QUEST_UNUSED_20150803_000357	和團員阿爾利那對話
QUEST_UNUSED_20150804_000358	為了成功前往王陵，必須通過所有자카리엘大王的試練。為了獲取下一個試煉信物，請與史學者雷克西波對話看看。
QUEST_UNUSED_20150908_000359	燃燒中
QUEST_UNUSED_20150908_000360	連保管所都找不到牠的蹤跡。
QUEST_UNUSED_20150908_000361	消滅擋路的怪物！
QUEST_UNUSED_20150908_000362	成功消滅擋路的怪物！
QUEST_UNUSED_20150908_000363	已經將靈魂的骨灰盆轉交給虛弱的貓頭鷹雕像。
QUEST_UNUSED_20150908_000364	請消滅狼人！
QUEST_UNUSED_20150908_000365	請消滅突然出現的蘑菇卡利亞！
QUEST_UNUSED_20150908_000366	為大體祈禱
QUEST_UNUSED_20150908_000367	為死者祈禱
QUEST_UNUSED_20150908_000368	為死去的士兵祈福
QUEST_UNUSED_20150908_000369	挖掘中
QUEST_UNUSED_20150908_000370	挖掘中
QUEST_UNUSED_20150908_000371	請破壞補給品箱子並追蹤逃亡的布貝族！
QUEST_UNUSED_20150908_000372	請追蹤逃亡的布貝族！
QUEST_UNUSED_20150908_000373	請移動至下一個地區。
QUEST_UNUSED_20150908_000374	怪物出現在碎裂的貓頭鷹雕像附近！
QUEST_UNUSED_20150908_000375	火一點怪物就突然湧入！{nl}先趕走怪物然後再重新點火看看吧！
QUEST_UNUSED_20150908_000376	已燒掉貓頭鷹雕像！
QUEST_UNUSED_20150908_000377	點火燃燒中
QUEST_UNUSED_20150908_000378	守著雕像堆的火並消滅怪物！
QUEST_UNUSED_20150908_000379	請消滅擋路的雷普斯！
QUEST_UNUSED_20150908_000380	已消滅擋路的雷普斯！
QUEST_UNUSED_20150908_000381	為了阻止夏爾蘭而趕來了！
QUEST_UNUSED_20150918_000382	你是弓箭手大師派來的嗎？{nl}柯拉佩達情況已漸趨穩定，但佩迪米安好像還很為危險。
QUEST_UNUSED_20150918_000383	魔法師之塔中隊長等級的怪物就交給你了。{nl}重建佩迪米安的人力也不太足夠，魔法師之塔正湧出一堆怪物。
QUEST_UNUSED_20150918_000384	根據成功潛入的的偵查兵回報，魔法師之塔3樓的米諾牛頭怪。{nl}消滅該怪物的話，應該就能達到警告的功效了。
QUEST_UNUSED_20150918_000385	辛苦了。託您的福，怪物的氣勢收斂很多了啊！{nl}也請你代我向弓箭手大師說聲謝謝。
QUEST_UNUSED_20150918_000386	謝謝你。{nl}身為牧師大師，我會欣然幫您完成更高的使命。
QUEST_UNUSED_20150918_000387	怪物的巢穴就在這個十字路口的右方。{nl}說不定吃飽撐著的同伴們還待在那裏。
QUEST_UNUSED_20150918_000388	當然在那之前，身為侍從大師，得先好好報答您才行。
QUEST_UNUSED_20150918_000389	收集商的圖鑑
QUEST_UNUSED_20150918_000390	請消滅擋路的怪物！
QUEST_UNUSED_20150918_000391	已消滅擋路的怪物！
QUEST_UNUSED_20150918_000392	與收集商家對話
QUEST_UNUSED_20150918_000393	獲得收藏品
QUEST_UNUSED_20151001_000394	請問是夢見女神的啟示者嗎？{nl}我是夏奧雷伊和柯拉佩達的騎士團長烏斯卡。{nl}
QUEST_UNUSED_20151001_000395	現在王國已失去所有希望。{nl}連重新振作的意志都很低落…只是空喊著女神的名字。{nl}
QUEST_UNUSED_20151001_000396	坦白說我在各位啟示者身上看不到任何希望…{nl}背負著一整個城市的包袱… {nl}
QUEST_UNUSED_20151001_000397	不是無法再經歷絕望嗎？
QUEST_UNUSED_20151001_000398	嗯…不管怎樣，主教也夢見了啟示的夢。{nl}主教說如果啟示者到來的話，就送他前往水晶礦山。{nl}
QUEST_UNUSED_20151001_000399	不過現在礦山村正處於布貝族交戰中，是禁止出入的。{nl}請去見見東部森林的騎士阿拉斯是負責人吧。
QUEST_UNUSED_20151001_000400	這森林的怪物之所以會急遽成長原來是布貝鬥士搞的鬼啊！{nl}去看看貝鬥士的數量到底有多少。{nl}
QUEST_UNUSED_20151001_000401	唉呀。你就是那位有名的啟示者對吧？{nl}看來你也對大地要塞很有興趣嘛！{nl}
QUEST_UNUSED_20151001_000402	不過他們會不知道我嗎…王國軍人數眾多無法進入。{nl}來吧，你是站在哪一邊的呢？{nl}想進入大地要塞的話，最好給我老實回答。
QUEST_UNUSED_20151001_000403	小心不要被王國軍發現啊。{nl}就算被發現就假裝沒是笑一笑就好。
QUEST_UNUSED_20151001_000404	在集合地看到滴水嘴怪石像了吧？{nl}那個就是滴水嘴怪。{nl}
QUEST_UNUSED_20151001_000405	很奇怪我最近想進去的話我的肌肉就會自己動起來阻止我。{nl}不引起任何騷動光靠我們的力量是無法制伏他的。
QUEST_UNUSED_20151001_000406	夏奧雷伊東部森林的波亞塔正對居民造成威脅。{nl}如果你以女神之名消滅那怪物的話我就傳授魔法給你。
QUEST_UNUSED_20151001_000407	我第一次見到你的時候覺得你看起來…就像個半調子。{nl}現在你卻變得比我還有名。{nl}
QUEST_UNUSED_20151001_000408	辛苦了。{nl}以後累積更多實戰經驗來我門下學習劍法的話，你一定會成為更優秀的劍士的。
QUEST_UNUSED_20151001_000409	你來是來向我獲取流氓的教導的嗎？{nl}來得正好。{nl}身為你的流氓，可以向你證明我的實力又能解決我的問題，簡直一石二鳥。{nl}
QUEST_UNUSED_20151001_000410	斥候大師和我曾經是相依為命的好友，現在關係卻變得有點尷尬。{nl}想送他禮物來試著彌補我們的關係…我就這樣直接去的話是不是太明目張膽了。{nl}你能不能偷偷代替我去送給他禮物呢？
QUEST_UNUSED_20151001_000411	好啊。但是這也順便是你的測試。{nl}記住不要讓斥候大師發現就偷偷把禮物放著就走。{nl}給你一點建議，這種時候就是要學點跟蹤的基本功。
QUEST_UNUSED_20151001_000412	看起來任務已成功啊！{nl}等他看到會嚇一跳吧？{nl}
QUEST_UNUSED_20151001_000413	換我跟你做個了結了。{nl}跟蹤斥候大師並且偷放物品這樣的功夫也不普通呢，你一定能馬上學會的。
QUEST_UNUSED_20151001_000414	你是來學造箭者的技術的啊！{nl}以你的水準要能收到教導的話，你得之道這可不是件簡單的事。{nl}
QUEST_UNUSED_20151001_000415	我很久以前就在尋找第一代造箭者大師製造的弓箭。{nl}能送給利迪亞夏班的弓箭，其中的技術是不簡單的。{nl}我手邊有最近剩下的弓箭材料情報，想學造箭之前就得先成為懂得賞識弓箭真正價值的人。
QUEST_UNUSED_20151001_000416	根據我的情報，應該可以在峽谷地帶36_1找到。{nl}據說是以前遇到殘暴怪物所使用過的物品，還是小心為妙。
QUEST_UNUSED_20151001_000417	光看外型就能感受到那壯麗啊！{nl}雖然我很想針對這個弓箭進行研究，但我跟你的約定還是得先履行。{nl}來，我會展現我的技能給你看，請張大眼睛好好看。
QUEST_UNUSED_20151001_000418	身為馴鷹者大師，正尋找讓馴鷹者們變得更強的方法。{nl}其中有一個方法就是用其他飛行怪物來替代老鷹。{nl}
QUEST_UNUSED_20151001_000419	當然我的夥伴里斯很贊成，不過我認為這樣的嘗試對老鷹也是有幫助的。
QUEST_UNUSED_20151001_000420	馴服老鷹的時候，給他一點吃的就好了吧？{nl}因為沒有抱著很大期待，就先試試看吧！{nl}我放很多飼料在牠的前面，至少先試三種怪物吧。
QUEST_UNUSED_20151001_000421	果然還是失敗了。雖然有點可惜不過還是預料內的事。{nl}無論結果如何都得好好報答他的努力。{nl}好啊，我會直接指導你的。
QUEST_UNUSED_20151001_000422	你說你想學習更高級的技術嗎？{nl}想學習黑暗騎兵的高階技術的話，你本身得先打好相對堅強的基礎才行。{nl}第一還有第二點，就是得確實將弓箭瞄準敵人。
QUEST_UNUSED_20151001_000423	我欣賞你的自信。{nl}但是人不能只靠一張嘴，我會好好看著你的。{nl}如果你能對一般怪物連續命中200次且沒有一次失誤的話，我就認可你。
QUEST_UNUSED_20151001_000424	果真不是虛張聲勢啊！{nl}這樣的實力對教導技術的我也是有好處的。
QUEST_UNUSED_20151001_000425	你是來學習武僧的技術嗎？{nl}來得正好！如果對象是你的話，我有信心能交付給你。{nl}沒錯我有事情想拜託你。{nl}
QUEST_UNUSED_20151001_000426	對於過去犯下的錯我到現在都還在後悔。{nl}雖然現在為了贖罪過去的失誤，我在幫助某些人，但是若這件事情被傳出去的話，我的立場變得很尷尬喔！{nl}只要給他們一樣物品就可以了，做得好的話，實力也能得到認可並可得到技術傳承。
QUEST_UNUSED_20151001_000427	因為那件事情而恨我的人很多。{nl}不過那件事並不是那些人管得著的。{nl}但確實我該對我所犯的錯負責任。
QUEST_UNUSED_20151001_000428	好好轉交給他了嗎？{nl}那麼現在只要跟著我學一手就行了啊！
QUEST_UNUSED_20151001_000429	你是來向我取得認可的嗎？{nl}但是現在情況有點困擾呢！{nl}怪物們把交易帳簿都撕裂了。{nl}{nl}搞得現在進行其他工作就讓我一個頭兩個大了。{nl}要是你很急的話，我會告訴你地點你就替我把帳簿拿來吧！{nl}這事雖應保密，但這段期間你我也有了情分，我想我可以相信你這個人。
QUEST_UNUSED_20151001_000430	備用帳簿就在修道院35_3。{nl}為了不讓其他人先找到我已經把真本藏在書哩，並且在四處放了很多偽造本，請仔細找找。
QUEST_UNUSED_20151001_000431	找到了嘛！{nl}能處理這樣危急的事情，我認可你的能力。
QUEST_UNUSED_20151001_000432	為了好好運用德魯伊的能力，應好好了解自己操縱的植物。{nl}剛好我在神樹之日之後針對變成怪物的過度成長的植物等相關棘手問題進行調查，剛好也有你可以學習的地方。{nl}你如果幫我進行研究的話，我就認可這部分是你的修練。
QUEST_UNUSED_20151001_000433	消滅變成怪物的植物，並取得其標本。{nl}越強的怪物的身上可以越多的標本。
QUEST_UNUSED_20151001_000434	看來你的實力相當不錯呢！{nl}已經說好要認可你的修練，我會按照約定幫助你。
QUEST_UNUSED_20151001_000435	你似乎對我有點用處的樣子，不過現在我有更重要的事要做。{nl}遠處發現的魔氣漸漸變強，看來已經開始受到神諭師的影響。{nl}結果用千里眼看到的影像已變得模糊。nl}
QUEST_UNUSED_20151001_000436	處理那股魔氣是現在首要之務。{nl}您願意出面試試看嗎？{nl}也許解決這件事情也能證實你的能力，對你來說也是一個測試。
QUEST_UNUSED_20151001_000437	問題發生地點就在峽谷地帶36_1。{nl}只要把我給您的淨化的羅姆巴放置在魔氣最強的地方就可以了。
QUEST_UNUSED_20151001_000438	似乎做得不錯呢！{nl}我覺得我這件事找你真是找對了。{nl}那麼現在換我來幫你了。
QUEST_UNUSED_20151001_000439	好的。前往這東西的所在地莫加森林吧。{nl}如果在那個地方發現看似引路人的角色的話，首先自然地與他對話，再用暗號回答他的問題。
QUEST_UNUSED_20151001_000440	魔族 雪德利佳伊拉
QUEST_UNUSED_20151001_000441	該來的…總算…來了{nl}把我送到吉特涅身旁的那個人…{nl}
QUEST_UNUSED_20151001_000442	有事情要拜託你。{nl}帶領我走向死亡吧！
QUEST_UNUSED_20151001_000443	寫在柱子上的字句
QUEST_UNUSED_20151001_000444	[克勞斯的背景]
QUEST_UNUSED_20151001_000445	{nl}雖然克勞斯是出身於某位領主家門之下的長子，被繼母的親生子嗣奪走了繼承權，且被趕出領地外，於是他記錄下人生的第一件失敗的事情。
QUEST_UNUSED_20151001_000446	{nl}四處流浪的他在友人的勸導之下，隻身前往邊境地區開始工作，但不幸被友人欺騙，結果被俘虜到地區如奴隸般地日夜幹活。
QUEST_UNUSED_20151001_000447	{nl}在那之後，得到了露克立斯的救援，脫離了半奴隸般的的強制俘虜生活後，就這樣邊學習武藝過著安定的生活，但是，露克立斯被討伐以後，這樣安份的日子又再度變成了災難。
QUEST_UNUSED_20151001_000448	[克勞斯的最後一刻]
QUEST_UNUSED_20151001_000449	{nl}{nl}漫長的逃亡生活就像是由苦難點綴而成的，這半輩子一事無成，結果被待捕後給卡雷伊瑪斯收容了。
QUEST_UNUSED_20151001_000450	{nl}要是在這惡名昭彰的監獄中有一絲絲的希望就好了，他就是這樣受苦到死前最後一刻。
QUEST_UNUSED_20151001_000451	[克勞斯之死，死亡以後]
QUEST_UNUSED_20151001_000452	{nl}{nl}就這樣結束的話，如果說他的一生是由痛苦與失敗構成的人生，也不算是唯一的苦差事，因為根據傳說，他現在仍是不得免去以死去靈魂的狀態被魔族拷問著。
QUEST_UNUSED_20151001_000453	{nl}有些人說他之所以被魔族處以這樣的對待的事，是因為他的人生有著不為人知的祕密。
QUEST_UNUSED_20151001_000454	刻在柱子上的字句
QUEST_UNUSED_20151001_000455	[侏儒怪與月亮]
QUEST_UNUSED_20151001_000456	{nl}{nl}這故事不是百分百屬實，只是眾多流傳下來的傳說其中之一。根據我們所知，侏儒怪因為與利迪亞夏班下了賭注，而飛向月亮去了。
QUEST_UNUSED_20151001_000457	{nl}到達月亮之後，過著辛苦四處飛行的日子。但是到達月亮的時候，侏儒怪剛好發現一個嚴重的問題。自己騎乘前來利迪亞夏班的弓箭狀態並不是很好，甚至很難稱它為弓箭了，可見有多嚴重。
QUEST_UNUSED_20151001_000458	到剛才為止自己搭乘的(其實只是姿勢看起來很像騎乘，他是用魔力來飛行的) 整個弓箭突然呈現嚴重被腐蝕的狀態，而他自己也嚇到了。
QUEST_UNUSED_20151001_000459	[侏儒怪與利迪亞夏班的弓箭]
QUEST_UNUSED_20151001_000460	{nl}{nl}當然來到月球已經過了好一段時間，是有可能發生那種事的，但身體一離開弓箭，正要將弓箭射向月球表面時，竟然發生這種事情，對侏儒怪來說也是很荒唐的事情。
QUEST_UNUSED_20151001_000461	{nl}弓箭會變成那樣都是侏儒怪的錯。侏儒怪利用魔力讓弓箭飛行、保存在月亮上，不過利迪亞夏班的弓箭具備最初抵抗魔族的最高尚的性質。侏儒怪卻不知情，在騎乘弓箭的同時不斷消耗那魔力讓弓箭飛行，雖然飛行同時一邊看著弓箭，離開弓箭的瞬間，魔力也被切斷，那麼依靠魔力維持飛行的弓箭就好像生鏽的物體瞬間變成鏽粉一樣正漸漸消失。
QUEST_UNUSED_20151001_000462	[侏儒怪在哪裡]
QUEST_UNUSED_20151001_000463	{nl}{nl}侏儒怪仔細想了想，雖然了解箇中道哩，但還是太遲了。當然這故事不過只是一個不管是人類、女神還是魔族皆無法親自證實是否為真的傳說，說不定現在侏儒怪還正在飛向月球的路上呢。
QUEST_UNUSED_20151001_000464	{nl}也許利迪亞夏班為了尋找那剩下的弓箭躲了起來，也許他在某處迷了路也說不定。
QUEST_UNUSED_20151001_000465	雷歐普達斯
QUEST_UNUSED_20151001_000466	是啟示者啊！{nl}真高興見到你！我是凱都拉歐姆商團的負責管理的新團員，我叫做雷歐普達斯。真的很高興見到你啊！
QUEST_UNUSED_20151001_000467	{nl}能這樣見到你真是有緣，聊個天吧…怎麼樣？
QUEST_UNUSED_20151001_000468	我們商團？{nl}你想知道甚麼，要不要我告訴你？
QUEST_UNUSED_20151001_000469	{nl}其實我們商團才是這世界上不可或缺的存在呢！{nl}我不知道你知不知情，{nl}但為了讓水晶礦山永久存活，不管是採掘礦物的買賣{nl}還是星之塔、大教堂、大地要塞這樣的大型工程的原物料供等我們都有在經營。
QUEST_UNUSED_20151001_000470	{nl}沒錯。這件事的罪魁禍首就是我們啦！ {nl}嚇到了吧？
QUEST_UNUSED_20151001_000471	有空的話希望你到瑪那哈斯幫助我們商團的營運。{nl}那裏有我負責的新團員，到我這裡做事的話可以幫忙尤拉泰或馬勒傑利尤思的業務。{nl}這樣一來你也算是一名正當的凱都拉歐姆商團的助手了。我總算有空閒做其他事了。
QUEST_UNUSED_20151001_000472	就算是我們商團也是會經過一陣子難熬的時期。{nl}現在可說就是那樣的時期嘛？{nl}不管怎樣我們正致力於經營這個地區。
QUEST_UNUSED_20151001_000473	下次見吧！
QUEST_UNUSED_20151001_000474	啊，如果是那個位置的話我應該知道是怎樣的聖物喔！{nl}比起利用道具，先用手挖挖看吧！{nl}請小心不要打破挖出來的東西，並轉交給我。
QUEST_UNUSED_20151001_000475	不會很難的。
QUEST_UNUSED_20151001_000476	小心不要打破。
QUEST_UNUSED_20151001_000477	這是為了保存重要文件或資料而使用過的裝有祕密墨水的瓶子。{nl}有必要將記錄隱藏起來的時候，會告知已使用墨水。{nl}謝謝。
QUEST_UNUSED_20151001_000478	安塔雷士
QUEST_UNUSED_20151001_000479	您好。{nl}我是路德宗團的安塔雷士。{nl}女神消失後，不與其他宗派的鬧分支或爭吵，反而默默地等待著女神，做著自己該做的事的宗派就是我們路德宗團。
QUEST_UNUSED_20151001_000480	{nl}我正在這建造聖所。{nl}而且確實必須尋找製造聖所的材料，但人手實在不足。{nl}你能幫助我嗎？
QUEST_UNUSED_20151001_000481	我正在這裡建造聖所，另外其他團員在別處也為了在製造女神的經典，正供應著相關材料，或是尋找集整理路德宗團先賢記錄等工作。
QUEST_UNUSED_20151001_000482	材料只有一兩樣而已。{nl}請聽好了。{nl}必須從怪物身上獲取石灰粉，然後從被覆蓋的石頭堆中取得石材用的石頭。
QUEST_UNUSED_20151001_000483	{nl}會很忙的喔。
QUEST_UNUSED_20151001_000484	請加油！
QUEST_UNUSED_20151001_000485	哇做得真好！
QUEST_UNUSED_20151001_000486	那個…大地要塞的怪物身上掉落的嗎？{nl}這是過去露克立斯部隊士兵身上的物品。{nl}
QUEST_UNUSED_20151001_000487	你帶來的東西對我們騎士團的研究會很有幫助的。{nl}可以再帶多一點給我們嗎？
QUEST_UNUSED_20151001_000488	位於大地要塞的怪物們身上竟然有這種東西…{nl}真有趣啊！
QUEST_UNUSED_20151001_000489	這樣就夠了。{nl}謝謝你幫助我們的研究。
QUEST_UNUSED_20151001_000490	有甚麼事嗎？{nl}你要把這個給我嗎？{nl}
QUEST_UNUSED_20151001_000491	你嚇到了啊！這些都寫在過去士兵們的生活記錄裡。 {nl}你得趕快將這個資料送到騎士團那裏去。謝謝你了。
QUEST_UNUSED_20151001_000492	不行！{nl}拜託不要搶走那枚戒指…
QUEST_UNUSED_20151001_000493	那是炸彈啊… 還是未爆彈啊？{nl}我可以看看嗎？
QUEST_UNUSED_20151001_000494	這是舊型的嘛！{nl}書上都可以看到的炸彈。
QUEST_UNUSED_20151001_000495	士兵靈魂
QUEST_UNUSED_20151001_000496	無法向部隊成員們下達撤退指令。{nl}必須要吹喇叭…
QUEST_UNUSED_20151001_000497	不下令撤退的話我們會全數滅亡的。{nl}喇叭…
QUEST_UNUSED_20151001_000498	謝謝你。你的所屬是哪裡呢？{nl}我現在得回到露克立斯主人那裏去了…
QUEST_UNUSED_20151001_000499	等一下！請聽一下這個人說的。{nl}如果想要找回別人的傳家之寶，就要交出獲得祝福的水晶。{nl}
QUEST_UNUSED_20151001_000500	一開始給了爛水晶，讓人失去了性命。{nl}哈！真是的。那麼現在要變本加厲連死人也叫醒詢問。{nl}
QUEST_UNUSED_20151001_000501	詢問如何召喚死人，他叫我跟他買亡者卷軸。{nl}所以我問他多少錢，他叫我獵殺怪物，用藍色塗料當貨款支付。{nl}
QUEST_UNUSED_20151001_000502	那個老騙子一定是趁我去取得藍色塗料的時候逃走的！{nl}你可以幫我嗎？
QUEST_UNUSED_20151001_000503	我太興奮，講話前言不對後言。我慢慢說給你聽。{nl}我是侍從大師尤斯堤那勒肯的朋友沃里亞。{nl}
QUEST_UNUSED_20151001_000504	那個寬恕者所說的死者是我朋友的父親賈伊流斯勒肯。{nl}失蹤的賈伊流斯勒肯過逝本身就很荒唐，但你看看他的態度。{nl}
QUEST_UNUSED_20151001_000505	那個老頭一邊說要將勒肯的傳家之寶還給遺屬，一邊滿足自己私欲。{nl}可憐的尤斯堤那..{nl}
QUEST_UNUSED_20151001_000506	藍色塗料可以從亞卡烏汀三岔路口的怪物身上取得。{nl}拜託你了。
QUEST_UNUSED_20151001_000507	那個唐突的小女孩知道亡者卷軸值多少錢才這樣嗎？{nl}雖然可惜但是現在沒關係了。{nl}
QUEST_UNUSED_20151001_000508	想說幫幫可憐人，但竟然受到這種恥辱，真是讓人受不了。{nl}用這個尋找賈伊流斯，直接詢問看看！{nl}
QUEST_UNUSED_20151001_000509	尋找看看米雷斯墳墓邊的封印。{nl}聽說那個朋友在附近死掉。
QUEST_UNUSED_20151001_000510	這個騙子沒有收回獲得祝福的水晶的話沒有打算要讓步。{nl}真狠毒。
QUEST_UNUSED_20151001_000511	天啊！女神啊！{nl}沒想到在這種地方可以遇見人..{nl}
QUEST_UNUSED_20151001_000512	拜託幫幫我。{nl}我從星之塔開始就被追蹤者和魔族追逐。{nl}
QUEST_UNUSED_20151001_000513	在我用信號彈發信號給同伴的時候，你可以陪著我嗎？{nl}我必須告訴另外二位和我一起來這裡的同伴說我還活著。
QUEST_UNUSED_20151001_000514	追蹤者們連這裡也..{nl}如果不是你，我就慘了　
QUEST_UNUSED_20151001_000515	你.. 就像女神們在我身邊似的。{nl}沒錯，比那個討厭的吉特涅好多了。{nl}
QUEST_UNUSED_20151001_000516	我是魔君主哈勃克。{nl}也許你已經和我的其它碎片見過了。{nl}但是那個碎片和我是不一樣，我不知道你是誰..{nl}
QUEST_UNUSED_20151001_000517	我透過這個叫阿卡達斯的人類從魔族手中逃出。{nl}但是阿卡達斯中了魔族的麻痺毒快要死掉了。{nl}
QUEST_UNUSED_20151001_000518	我知道你不相信我。{nl}但是請你救救這善良的朝聖者。{nl}如果你取回深藍香草，就可以救他。
QUEST_UNUSED_20151001_000519	(好像昏迷了。)
QUEST_UNUSED_20151001_000520	這個可以救阿卡達斯。{nl}沒有東西可以報答你的善意。{nl}
QUEST_UNUSED_20151001_000521	在你眼你我是那個要被消滅的魔族吧！{nl}但是阿卡達斯醒來時，他會說明一切的。
QUEST_UNUSED_20151001_000522	凱爾利斯騎士團嗎？好。{nl}雖然我們無法完全相信你，但是如你幫助我的計劃，我想可以帶你一起去。{nl}
QUEST_UNUSED_20151001_000523	大地要塞是露克立斯軍最後的扺抗地，知道吧？{nl}如螞蟻窩般挖地洞造出的地方。{nl}
QUEST_UNUSED_20151001_000524	現在王國軍們如鐵桶般緊緊守護著。{nl}不奇怪嗎？{nl}
QUEST_UNUSED_20151001_000525	判亂是400年前的事，現在是神樹之日什麼的，兵力也不足啊。{nl}이 城市狀況也不太好，就算具有歷史意義，但是需要守護到那個程度嗎？{nl}
QUEST_UNUSED_20151001_000526	在王國的背後好像在進行什麼見不得人的交易。{nl}如果不是為何要守護這個和石塊沒兩樣的地方。{nl}
QUEST_UNUSED_20151001_000527	凱爾利斯騎士團注意到那裡，好奇那裡也許有什麼。{nl}他們只要得到約定的東西，就算隨便行動，他們也會當作沒看見。{nl}
QUEST_UNUSED_20151001_000528	啊！我當然會不讓王國軍知道偷偷地進入大地要塞裡充滿寶物的房間。{nl}裡面一定堆滿了軍費或是其他什麼的。{nl}
QUEST_UNUSED_20151001_000529	先幫我收集集合地的露克立斯時代的記錄物。{nl}如果要穿越守護在那的滴水嘴怪需要那個。
QUEST_UNUSED_20151001_000530	邪靈祭司 尤塔
QUEST_UNUSED_20151001_000531	我正在尋找澤米娜女神的下落。{nl}女神下落不明這件事大家都知道。{nl}
QUEST_UNUSED_20151001_000532	聽到女神祝福真理之樹教團的消息而來到這裡.. {nl}這裡卻只充滿亡者。{nl}
QUEST_UNUSED_20151001_000533	如果你會繼續待在這個墓園，可以幫幫我嗎？{nl}這些亡者光靠我的力量無法解決，他們只要聽到祈禱聲就會跑過來。{nl}
QUEST_UNUSED_20151001_000534	必須對女神祈禱才能確認她是否在附近。
QUEST_UNUSED_20151001_000535	真的嗎？雖然只是口頭說說但還是感謝。{nl}其實我一個人連祈禱也很累。{nl}
QUEST_UNUSED_20151001_000536	那麼入棺室的亡者就拜託你了。{nl}這段時間我會祈禱看看女神在哪裡。
QUEST_UNUSED_20151001_000537	想說如果是這裡應該可以找到澤米娜女神的下落，結果這裡竟然充滿了亡者..{nl}我第一次見到這種情況，我得快點找到澤米娜大人。
QUEST_UNUSED_20151001_000538	啊！回來了啊。{nl}託你的福在進行祈禱時，屍體沒有撲過來。{nl}
QUEST_UNUSED_20151001_000539	但是這裡也是對女神祈禱沒有用的樣子。
QUEST_UNUSED_20151001_000540	咒術人偶[邪靈祭司轉職]
QUEST_UNUSED_20151001_000541	倒下傭兵的屍體
QUEST_UNUSED_20151001_000542	詢問該怎麼辦。
QUEST_UNUSED_20151001_000543	要我看著辦所以拒絕。
